метро Пятницкое Шоссе,Россия,Москва,Арбатско-Покровская линия,55.855644,37.354025,1
метро Митино,Россия,Москва,Арбатско-Покровская линия,55.846098,37.36122,2
метро Волоколамская,Россия,Москва,Арбатско-Покровская линия,55.835508,37.382034,3
метро Мякинино,Россия,Москва,Арбатско-Покровская линия,55.82399,37.384747,4
метро Строгино,Россия,Москва,Арбатско-Покровская линия,55.803691,37.403118,5
метро Крылатское,Россия,Москва,Арбатско-Покровская линия,55.756842,37.408139,6
метро Молодежная,Россия,Москва,Арбатско-Покровская линия,55.741004,37.416386,7
метро Кунцевская,Россия,Москва,Арбатско-Покровская линия,55.730634,37.445123,8
метро Славянский Бульвар,Россия,Москва,Арбатско-Покровская линия,55.729828,37.472171,9
метро Парк Победы,Россия,Москва,Арбатско-Покровская линия,55.736164,37.516925,10
метро Киевская,Россия,Москва,Арбатско-Покровская линия,55.743117,37.564132,11
метро Смоленская,Россия,Москва,Арбатско-Покровская линия,55.747642,37.583841,12
метро Арбатская,Россия,Москва,Арбатско-Покровская линия,55.752516,37.604116,13
метро Площадь Революции,Россия,Москва,Арбатско-Покровская линия,55.756726,37.62228,14
метро Курская,Россия,Москва,Арбатско-Покровская линия,55.75864,37.659155,15
метро Бауманская,Россия,Москва,Арбатско-Покровская линия,55.772406,37.679035,16
метро Электрозаводская,Россия,Москва,Арбатско-Покровская линия,55.782066,37.705284,17
метро Семеновская,Россия,Москва,Арбатско-Покровская линия,55.783195,37.719423,18
метро Партизанская,Россия,Москва,Арбатско-Покровская линия,55.788424,37.749265,19
метро Измайловская,Россия,Москва,Арбатско-Покровская линия,55.787746,37.78138,20
метро Первомайская,Россия,Москва,Арбатско-Покровская линия,55.794376,37.799364,21
метро Щелковская,Россия,Москва,Арбатско-Покровская линия,55.810228,37.798556,22
метро Бунинская Аллея,Россия,Москва,Бутовская линия,55.537964,37.515919,23
метро Улица Горчакова,Россия,Москва,Бутовская линия,55.541825,37.531226,24
метро Бульвар Адмирала Ушакова,Россия,Москва,Бутовская линия,55.545207,37.542329,25
метро Улица Скобелевская,Россия,Москва,Бутовская линия,55.548034,37.554618,26
метро Улица Старокачаловская,Россия,Москва,Бутовская линия,55.568838,37.576708,27
метро Лесопарковая,Россия,Москва,Бутовская линия,55.581968,37.57731,28
метро Битцевский Парк,Россия,Москва,Бутовская линия,55.601188,37.555328,29
метро Алма-Атинская,Россия,Москва,Замоскворецкая линия,55.63349,37.765678,30
метро Красногвардейская,Россия,Москва,Замоскворецкая линия,55.613717,37.746355,31
метро Домодедовская,Россия,Москва,Замоскворецкая линия,55.610697,37.717905,32
метро Орехово,Россия,Москва,Замоскворецкая линия,55.61269,37.695214,33
метро Царицыно,Россия,Москва,Замоскворецкая линия,55.620982,37.669612,34
метро Кантемировская,Россия,Москва,Замоскворецкая линия,55.636107,37.656218,35
метро Каширская,Россия,Москва,Замоскворецкая линия,55.655432,37.649256,36
метро Коломенская,Россия,Москва,Замоскворецкая линия,55.677423,37.663719,37
метро Автозаводская,Россия,Москва,Замоскворецкая линия,55.706634,37.657008,38
метро Павелецкая,Россия,Москва,Замоскворецкая линия,55.729787,37.638961,39
метро Новокузнецкая,Россия,Москва,Замоскворецкая линия,55.742276,37.629125,40
метро Театральная,Россия,Москва,Замоскворецкая линия,55.758808,37.617734,41
метро Тверская,Россия,Москва,Замоскворецкая линия,55.764455,37.605939,42
метро Маяковская,Россия,Москва,Замоскворецкая линия,55.769808,37.596192,43
метро Белорусская,Россия,Москва,Замоскворецкая линия,55.777439,37.582107,44
метро Динамо,Россия,Москва,Замоскворецкая линия,55.789704,37.558212,45
метро Аэропорт,Россия,Москва,Замоскворецкая линия,55.800261,37.53287,46
метро Сокол,Россия,Москва,Замоскворецкая линия,55.805042,37.514787,47
метро Войковская,Россия,Москва,Замоскворецкая линия,55.818923,37.497791,48
метро Водный Стадион,Россия,Москва,Замоскворецкая линия,55.840209,37.486616,49
метро Речной Вокзал,Россия,Москва,Замоскворецкая линия,55.854891,37.476231,50
